document_uid,mentions
DOC_66d9a88b4148a41cb6e4,6.0
DOC_1a2be2b0aff96149210f,2.0
DOC_e1e089ebc149dc5b4868,8.0
DOC_be885a08613d9951c69a,0.0
DOC_5e6fc6a7ca806dc8fdd3,8.0
DOC_7f274ca9eaf1874146da,2.0
DOC_273ad92341ad1b1852ed,5.0
DOC_d7e9e67ad455919afacd,0.0
DOC_19b4c6a2c35479f6103c,5.0
DOC_6c724c5a5a9624bdc1ed,3.0
DOC_c2966ea139a6a0f02a4e,5.0
DOC_3322c0c4c026e8ade39c,6.0
DOC_3d506a4b4fcc45373925,2.0
DOC_0cc215e97e3991a18e16,5.0
DOC_c1e491d646e6e6003be1,2.0
DOC_81f5612f3da123f7d57a,7.0
DOC_4abb912f136b5d3a90b0,2.0
DOC_0980833351769d2bc11f,4.0
DOC_4ada88803b84dbb58dae,2.0
DOC_203cc9e7557e3de577ce,6.0
DOC_655e25e4b48f46fac33b,2.0
DOC_ecc24be6d37b32361736,2.0
DOC_07012a09168714e57552,0.0
DOC_2d197908bf2659c952a4,1.0
DOC_96856bcb085f432e6286,1.0
DOC_66956c40d75f257f321e,0.0
DOC_8fddb365e3843fc7ba48,1.0
DOC_f60b0b64ce47b5f8c45e,5.0
DOC_4810f225943f4dcc9ffb,4.0
DOC_8d0d351ad290dc6b42c7,1.0
DOC_c673d84f2780774fa35e,5.0
DOC_5aa40d6f201b05106f67,2.0
DOC_02cde08291a929ef5a8b,1.0
DOC_61ce76cf3ab36649704e,3.0
DOC_5c45945ad8ddd7ead5e4,4.0
DOC_79590ffa589c77cf8d19,3.0
DOC_254d65f2cd696ab98a84,3.0
DOC_34eb57ff17100c7f85f6,3.0
DOC_72c9b56b13e11a82e9ba,3.0
DOC_6880620d2d56a635df40,5.0
DOC_627f14cbd13b97658d36,2.0
DOC_853f6d4c38cd774d7dca,3.0
DOC_7722da30409f23563b13,3.0
DOC_e58c6b1ee0602c641d77,2.0
DOC_8fa73cb4fc7951c06ee0,4.0
DOC_2c199ba5c7689f03768b,4.0
DOC_2b23b89b1e958850aec2,3.0
DOC_9cddb72e2b8e9fa9c5c6,3.0
DOC_8d76add5dd9f01050ea5,2.0
DOC_2e846218e9bced9fab4b,0.0
DOC_777a5e239590f0264475,3.0
DOC_5832468bbfdc3d800175,3.0
DOC_760d3ee57a3bab27dc18,6.0
DOC_b8fdc92ae1bdcb0f4c47,0.0
DOC_374f173a52d501d92a03,0.0
DOC_8b767cd8d9989fb9b7ad,5.0
DOC_e8677232444bfdf0ad00,5.0
DOC_96d8142847f3bf8be5ed,3.0
DOC_2ed9a2a091acb22e6457,3.0
DOC_883b3a4696af8ba05465,4.0
DOC_bf3134f51f1dc36cc12b,6.0
DOC_d966c0a6ac024511bc96,6.0
DOC_1d28dc11d2e23b5b5372,8.0
DOC_f79eba77044a78bca590,3.0
DOC_84f9a0012ade9caf1f7a,2.0
DOC_b59891d257df81fec882,0.0
DOC_6f651a74fd57ba7f3793,3.0
DOC_0722f006612f0b1c87ee,2.0
